epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1270.21,1.20006,0.65964,1.0677,0.95456,0.59874,0.64375,0.42197,1.2324,0.57277,1.10823,0.000848969,0.000848969,0.000848969
43,1299.16,1.18818,0.64652,1.06046,0.96095,0.60047,0.64215,0.42597,1.22016,0.57238,1.10328,0.000834822,0.000834822,0.000834822
44,1328.68,1.20936,0.65852,1.07415,0.95607,0.60203,0.64389,0.42882,1.21492,0.56819,1.09933,0.000820675,0.000820675,0.000820675
45,1359.28,1.19487,0.64772,1.06731,0.95638,0.60567,0.64601,0.42708,1.2201,0.56594,1.1004,0.000806528,0.000806528,0.000806528
46,1389.13,1.1889,0.64872,1.06579,0.95807,0.60298,0.64658,0.4292,1.21393,0.56109,1.09938,0.00079238,0.00079238,0.00079238
47,1417.94,1.18624,0.64751,1.06453,0.95251,0.6049,0.64711,0.42536,1.22539,0.56506,1.10421,0.000778233,0.000778233,0.000778233
48,1447.02,1.18368,0.63713,1.05771,0.95441,0.60744,0.64873,0.43127,1.21497,0.56001,1.10185,0.000764086,0.000764086,0.000764086
49,1477.58,1.17887,0.64334,1.05948,0.95825,0.60112,0.64604,0.43066,1.2025,0.56057,1.09544,0.000749939,0.000749939,0.000749939
50,1508.12,1.1842,0.6402,1.05906,0.95707,0.60388,0.64559,0.42817,1.21265,0.56509,1.09816,0.000735792,0.000735792,0.000735792
51,1538.35,1.17774,0.63353,1.05794,0.95644,0.60304,0.64592,0.42789,1.22063,0.5595,1.09834,0.000721645,0.000721645,0.000721645
52,1569.17,1.16997,0.62713,1.05761,0.9572,0.60502,0.64418,0.42958,1.20977,0.5573,1.09809,0.000707498,0.000707498,0.000707498
53,1599.77,1.16394,0.62458,1.05216,0.67542,0.61087,0.64565,0.4292,1.21743,0.55887,1.09899,0.000693351,0.000693351,0.000693351
54,1630.58,1.17191,0.62572,1.05475,0.95733,0.6077,0.64417,0.42874,1.20861,0.55453,1.09466,0.000679204,0.000679204,0.000679204
55,1661.04,1.17064,0.62772,1.05619,0.62417,0.60297,0.64355,0.42795,1.21778,0.55792,1.0978,0.000665057,0.000665057,0.000665057
56,1691.62,1.15846,0.61748,1.04694,0.66654,0.6115,0.64549,0.42965,1.21612,0.55387,1.09882,0.000650909,0.000650909,0.000650909
57,1721.53,1.16122,0.61981,1.04859,0.6252,0.60607,0.64394,0.42888,1.21273,0.55171,1.09824,0.000636762,0.000636762,0.000636762
58,1751.16,1.15385,0.60757,1.04689,0.67321,0.62301,0.64673,0.43219,1.20805,0.551,1.0963,0.000622615,0.000622615,0.000622615
59,1780.07,1.16108,0.61347,1.05025,0.95708,0.60773,0.64313,0.42952,1.20728,0.55281,1.09642,0.000608468,0.000608468,0.000608468
